block,trial,flankers,firstTime,firstValue,detectTime,detectValue,timeDifferent
3,14,neutral,0.491087913513,-0.945127719962,0.511063814163,-0.42747276223,0.019975900649999934
3,15,congruent,0.388414859772,-0.921597949156,0.40843296051,-0.419629505295,0.020018100737999978
3,16,neutral,0.453174114227,-0.890224921415,0.473185062408,-0.41178624836,0.02001094818100002
3,17,incongruent,0.288055896759,-0.929441206091,0.316041946411,-0.458845789972,0.027986049651999967
3,18,neutral,0.436973810196,-0.945127719962,0.464986801147,-0.42747276223,0.02801299095099996
3,19,neutral,0.807948827744,-0.937284463027,0.863973855972,-0.443159276101,0.05602502822800004
3,20,neutral,0.392067909241,-0.905911435286,0.420042037964,-0.451002533036,0.027974128723000036
3,21,incongruent,0.424946069717,-0.89806817835,0.45296216011,-0.42747276223,0.028016090393000015
3,22,incongruent,0.371492862701,-0.984344004639,0.463479995728,-0.419629505295,0.09198713302700001
3,23,incongruent,0.428404808044,-0.921597949156,0.456421852112,-0.458845789972,0.028017044067999985
3,24,neutral,0.49102807045,-0.952970976897,0.519020080566,-0.388256477554,0.027992010116
3,25,congruent,0.429156064987,-0.890224921415,0.449151039124,-0.466689046907,0.01999497413700002
3,26,neutral,0.641015052795,-0.929441206091,0.660992145538,-0.349040192877,0.01997709274299997
3,27,neutral,0.50118803978,-0.937284463027,0.529176950455,-0.498062074648,0.02798891067499998
3,28,neutral,0.376162052155,-0.945127719962,0.408158063889,-0.458845789972,0.03199601173400002
3,29,congruent,0.504922866821,-0.945127719962,0.5528819561,-0.458845789972,0.047959089279000056
3,30,congruent,0.567738056183,-0.890224921415,0.591680049896,-0.403942991424,0.023941993712999987
3,31,congruent,0.496467113495,-0.929441206091,0.53248000145,-0.458845789972,0.03601288795499996
3,32,neutral,0.536421060562,-0.945127719962,1.10444021225,-0.349040192877,0.5680191516880001
4,1,neutral,0.648535013199,-0.945127719962,0.68454003334,-0.403942991424,0.036005020141000044
4,2,neutral,0.373043060303,-0.890224921415,0.393059968948,-0.388256477554,0.020016908644999998
4,3,incongruent,0.345150947571,-0.921597949156,0.373131036758,-0.474532303842,0.027980089187000012
4,4,neutral,0.360795021057,-0.945127719962,0.380795955658,-0.419629505295,0.020000934600999998
4,5,congruent,0.344027042389,-0.945127719962,0.372017145157,-0.403942991424,0.027990102768000014
4,6,neutral,0.373075962067,-0.945127719962,0.401046991348,-0.396099734489,0.02797102928099998
4,7,incongruent,0.510986089706,-0.929441206091,0.538970947266,-0.466689046907,0.02798485756000002
4,8,congruent,0.508475065231,-0.929441206091,0.528472185135,-0.458845789972,0.019997119904000105
