data,block,trial,oneTrigger,trigger
10_2011_11_29_11_08_,8,4,1,left
10_2011_11_29_11_08_,8,5,1,left
10_2011_11_29_11_08_,8,6,1,right
10_2011_11_29_11_08_,8,7,1,left
10_2011_11_29_11_08_,8,8,1,left
10_2011_11_29_11_08_,8,9,1,left
10_2011_11_29_11_08_,8,10,1,left
10_2011_11_29_11_08_,8,11,0,left/right
10_2011_11_29_11_08_,8,12,1,left
10_2011_11_29_11_08_,8,13,1,left
10_2011_11_29_11_08_,8,14,1,left
10_2011_11_29_11_08_,8,15,1,right
10_2011_11_29_11_08_,8,16,1,right
10_2011_11_29_11_08_,8,17,1,left
10_2011_11_29_11_08_,8,18,1,right
10_2011_11_29_11_08_,8,19,1,right
10_2011_11_29_11_08_,8,20,1,right
10_2011_11_29_11_08_,8,21,1,left
10_2011_11_29_11_08_,8,22,1,left
10_2011_11_29_11_08_,8,23,1,right
10_2011_11_29_11_08_,8,24,1,left
10_2011_11_29_11_08_,8,25,1,left
10_2011_11_29_11_08_,8,26,1,right
10_2011_11_29_11_08_,8,27,1,right
10_2011_11_29_11_08_,8,28,1,right
10_2011_11_29_11_08_,8,29,1,left
10_2011_11_29_11_08_,8,30,1,right
10_2011_11_29_11_08_,8,31,1,right
10_2011_11_29_11_08_,8,32,1,left
10_2011_11_29_11_08_,9,1,1,right
10_2011_11_29_11_08_,9,2,1,right
10_2011_11_29_11_08_,9,3,1,right
10_2011_11_29_11_08_,9,4,1,left
10_2011_11_29_11_08_,9,5,1,right
10_2011_11_29_11_08_,9,6,1,right
10_2011_11_29_11_08_,9,7,1,right
10_2011_11_29_11_08_,9,8,1,left
10_2011_11_29_11_08_,9,9,1,right
10_2011_11_29_11_08_,9,10,1,right
10_2011_11_29_11_08_,9,11,1,right
10_2011_11_29_11_08_,9,12,1,right
10_2011_11_29_11_08_,9,13,1,left
10_2011_11_29_11_08_,9,14,1,right
10_2011_11_29_11_08_,9,15,0,left/right
10_2011_11_29_11_08_,9,16,1,right
10_2011_11_29_11_08_,9,17,1,left
10_2011_11_29_11_08_,9,18,1,right
10_2011_11_29_11_08_,9,19,1,right
10_2011_11_29_11_08_,9,20,1,right
10_2011_11_29_11_08_,9,21,1,left
10_2011_11_29_11_08_,9,22,0,left/right
10_2011_11_29_11_08_,9,23,1,left
10_2011_11_29_11_08_,9,24,1,left
10_2011_11_29_11_08_,9,25,1,right
10_2011_11_29_11_08_,9,26,1,left
10_2011_11_29_11_08_,9,27,1,left
10_2011_11_29_11_08_,9,28,1,left
10_2011_11_29_11_08_,9,29,0,left/right
10_2011_11_29_11_08_,9,30,1,right
10_2011_11_29_11_08_,9,31,1,left
10_2011_11_29_11_08_,9,32,0,left/right
10_2011_11_29_11_08_,10,1,0,left/right
10_2011_11_29_11_08_,10,2,1,right
10_2011_11_29_11_08_,10,3,1,right
10_2011_11_29_11_08_,10,4,1,right
10_2011_11_29_11_08_,10,5,1,right
10_2011_11_29_11_08_,10,6,1,right
10_2011_11_29_11_08_,10,7,1,right
10_2011_11_29_11_08_,10,8,1,right
10_2011_11_29_11_08_,10,9,1,left
10_2011_11_29_11_08_,10,10,1,left
10_2011_11_29_11_08_,10,11,0,left/right
10_2011_11_29_11_08_,10,12,1,left
10_2011_11_29_11_08_,10,13,1,right
10_2011_11_29_11_08_,10,14,1,right
10_2011_11_29_11_08_,10,15,1,left
10_2011_11_29_11_08_,10,16,1,left
10_2011_11_29_11_08_,10,17,1,left
10_2011_11_29_11_08_,10,18,1,right
10_2011_11_29_11_08_,10,19,1,right
10_2011_11_29_11_08_,10,20,1,left
10_2011_11_29_11_08_,10,21,1,right
10_2011_11_29_11_08_,10,22,0,left/right
10_2011_11_29_11_08_,10,23,1,right
10_2011_11_29_11_08_,10,24,1,left
10_2011_11_29_11_08_,10,25,1,left
10_2011_11_29_11_08_,10,26,1,right
10_2011_11_29_11_08_,10,27,1,right
10_2011_11_29_11_08_,10,28,1,left
10_2011_11_29_11_08_,10,29,1,right
10_2011_11_29_11_08_,10,30,1,left
10_2011_11_29_11_08_,10,31,1,left
10_2011_11_29_11_08_,10,32,1,right
10_2011_11_29_11_08_,11,1,0,left/right
10_2011_11_29_11_08_,11,2,0,left/right
10_2011_11_29_11_08_,11,3,1,left
